probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,
current through plasma (-mA) <tab> voltage across plasma (-V) <tab> time (sec)
3.431047	445.882807	0.002000
3.424874	446.363572	0.102000
3.435312	445.559204	0.202000
3.432637	445.778290	0.302000
3.421612	446.661662	0.402000
3.428291	446.171957	0.502000
3.437202	445.405016	0.602000
3.428133	446.098733	0.702000
3.422345	446.574450	0.802000
3.432687	445.826557	0.902000
3.434034	445.701734	1.002000
3.424212	446.389654	1.102000
3.427153	446.226008	1.202000
3.435608	445.549527	1.302000
3.428872	446.062949	1.402000
3.422806	446.486221	1.502000
3.432175	445.812261	1.602000
3.434678	445.661460	1.702000
3.423786	446.447398	1.802000
3.425164	446.360866	1.902000
3.436450	445.458084	2.002000
3.431190	445.824059	2.102000
3.421460	446.635184	2.202000
3.429117	446.063514	2.302000
3.435413	445.566283	2.402000
3.426187	446.231875	2.502000
3.424344	446.368700	2.602000
3.434318	445.650837	2.702000
3.431315	445.868479	2.802000
3.422368	446.534986	2.903000
3.429601	445.993555	3.002000
3.436220	445.521212	3.102000
3.426321	446.230548	3.202000
3.423280	446.461407	3.302000
3.434158	445.655396	3.402000
3.433938	445.622813	3.502000
3.422629	446.536818	3.602000
3.426630	446.254025	3.702000
3.436385	445.472233	3.802000
3.429674	445.965219	3.902000
3.423356	446.437187	4.003000
3.432292	445.804260	4.103000
3.433745	445.655712	4.202000
3.424023	446.369164	4.302000
3.427059	446.198739	4.403000
3.436865	445.450364	4.502000
3.429966	445.965793	4.603000
3.422116	446.528606	4.703000
3.431750	445.820632	4.802000
3.436253	445.438654	4.902000
3.425443	446.234647	5.002000
3.424608	446.354765	5.102000
3.435742	445.523855	5.202000
3.432874	445.695435	5.302000
3.423486	446.416119	5.402000
3.429624	445.878821	5.502000
3.435359	445.502400	5.602000
3.426471	446.201352	5.702000
3.425195	446.296109	5.802000
3.435459	445.515769	5.902000
3.432661	445.714831	6.002000
3.422238	446.511456	6.102000
3.428673	445.995810	6.202000
3.436992	445.366181	6.302000
3.427612	446.079775	6.402000
3.423493	446.424659	6.502000
3.433772	445.653315	6.602000
3.433463	445.615528	6.702000
3.423488	446.363081	6.802000
3.428120	446.037731	6.902000
3.435563	445.508218	7.002000
3.427854	446.089104	7.102000
3.423807	446.377341	7.202000
3.433950	445.599338	7.302000
3.433675	445.591273	7.402000
3.422055	446.468259	7.502000
3.426554	446.158325	7.602000
3.436605	445.387073	7.702000
3.429643	445.877832	7.802000
3.422017	446.484992	7.902000
3.431200	445.819200	8.002000
3.434359	445.536399	8.102000
3.424638	446.244172	8.202000
3.425122	446.222679	8.302000
3.435006	445.467686	8.402000
3.429765	445.850865	8.502000
3.422355	446.431240	8.602000
3.430234	445.830295	8.702000
3.434872	445.437705	8.802000
3.424015	446.283792	8.902000
3.423062	446.353601	9.002000
3.434951	445.464393	9.102000
3.432302	445.639353	9.202000
3.421746	446.474237	9.303000
3.427373	446.046100	9.404000
3.435076	445.451134	9.502000
3.427330	445.969460	9.602000
3.423005	446.299826	9.702000
3.432836	445.587522	9.802000
3.432490	445.641621	9.902000
3.422383	446.412004	10.002000
3.427170	446.036079	10.102000
3.435564	445.399985	10.202000
3.427889	445.932105	10.302000
3.421759	446.418043	10.402000
3.432348	445.651003	10.502000
3.434662	445.446086	10.602000
