-0.052,-0.3137
0.02,0.0745
0.055,0.1779
0.09,0.3887
0.117,0.4945
0.144,0.7108
0.162,0.7108
0.18,0.8205
0.208,0.9297
0.226,1.0395
0.263,1.1503
0.291,1.3741
0.301,1.3741
0.328,1.4866
0.347,1.5987
0.367,1.7119
0.385,1.8255
0.414,1.939
0.433,2.0535
